# Sigma = 0.156333
      -12.8645941986        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
      -12.7611054934        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
      -12.6576167882        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
      -12.5541280830        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
      -12.4506393778        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
      -12.3471506726        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
      -12.2436619674        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000005        0.0000000002        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
      -12.1401732622        0.0000000000        0.0000000000        0.0000000000        0.0000000002        0.0000000000        0.0000000004        0.0000000239        0.0000000077        0.0000000000        0.0000000008        0.0000000000        0.0000000007        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000001        0.0000000001        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000001
      -12.0366845570        0.0000000000        0.0000000000        0.0000000005        0.0000000066        0.0000000000        0.0000000103        0.0000006688        0.0000002171        0.0000000004        0.0000000217        0.0000000001        0.0000000209        0.0000000000        0.0000000005        0.0000000008        0.0000000005        0.0000000018        0.0000000040        0.0000000012        0.0000000000        0.0000000003        0.0000000009        0.0000000003        0.0000000020
      -11.9331958518        0.0000000000        0.0000000000        0.0000000093        0.0000001190        0.0000000006        0.0000001869        0.0000120938        0.0000039266        0.0000000073        0.0000003921        0.0000000010        0.0000003786        0.0000000001        0.0000000093        0.0000000143        0.0000000088        0.0000000334        0.0000000726        0.0000000219        0.0000000004        0.0000000052        0.0000000154        0.0000000051        0.0000000359
      -11.8297071466        0.0000000000        0.0000000003        0.0000001090        0.0000013883        0.0000000069        0.0000021807        0.0001410959        0.0000458107        0.0000000850        0.0000045746        0.0000000118        0.0000044172        0.0000000008        0.0000001082        0.0000001674        0.0000001028        0.0000003897        0.0000008466        0.0000002551        0.0000000044        0.0000000602        0.0000001796        0.0000000600        0.0000004191
      -11.7262184414        0.0000000000        0.0000000022        0.0000008208        0.0000104502        0.0000000523        0.0000164147        0.0010620666        0.0003448296        0.0000006400        0.0000344346        0.0000000886        0.0000332493        0.0000000059        0.0000008143        0.0000012599        0.0000007739        0.0000029333        0.0000063726        0.0000019199        0.0000000328        0.0000004530        0.0000013521        0.0000004519        0.0000031547
      -11.6227297362        0.0000000000        0.0000000109        0.0000039863        0.0000507517        0.0000002538        0.0000797180        0.0051579342        0.0016746674        0.0000031081        0.0001672317        0.0000004304        0.0001614755        0.0000000288        0.0000039545        0.0000061186        0.0000037583        0.0000142458        0.0000309485        0.0000093238        0.0000001594        0.0000022002        0.0000065663        0.0000021947        0.0000153207
      -11.5192410310        0.0000000000        0.0000000342        0.0000124905        0.0001590235        0.0000007953        0.0002497857        0.0161616881        0.0052473436        0.0000097388        0.0005239979        0.0000013486        0.0005059617        0.0000000903        0.0000123908        0.0000191717        0.0000117760        0.0000446373        0.0000969728        0.0000292148        0.0000004994        0.0000068939        0.0000205746        0.0000068769        0.0000480053
      -11.4157523257        0.0000000001        0.0000000691        0.0000252510        0.0003214837        0.0000016077        0.0005049698        0.0326726612        0.0106080923        0.0000196882        0.0010593204        0.0000027263        0.0010228581        0.0000001825        0.0000250495        0.0000387578        0.0000238065        0.0000902393        0.0001960414        0.0000590610        0.0000010097        0.0000139368        0.0000415939        0.0000139025        0.0000970481
