-0.19121+6e-06j -0.3607-0.000164j 0.065669-0.05353j 0.12941+0.011611j 0.47518-0.012188j -0.21666+0.001238j 0.41319-0.010586j -0.17944+0.004211j -0.28868 0.14495+0.004681j 0.089637+0.000444j 0.47003-0.001965j
-0.21677-6e-06j 0.34595+0.000164j -0.32332+0.30657j -0.17534-0.050469j -0.13468+0.006972j -0.21895+0.001235j 0.41283-0.010579j -0.17748+0.00418j -0.28868 -0.21325-0.00064j -0.43688-2.6e-05j -0.11686-0.001846j
0.40798 0.014753 0.25766-0.25304j 0.045925+0.038859j -0.3405+0.005216j -0.21909+0.001237j 0.41156-0.010554j -0.18024+0.004226j -0.28868 0.073027-0.004061j 0.3452-0.000421j -0.35422+0.003867j
-0.19121+6e-06j -0.3607-0.000164j 0.24727-0.30657j -0.30351+0.050469j 0.01254-0.006972j -0.15913-0.000361j -0.3984+0.008686j -0.25664+0.004052j -0.28868 0.020153-0.002885j -0.41366-0.000286j -0.28012+0.001925j
-0.21677-6e-06j 0.34595+0.000164j 0.010386+0.05353j 0.34944-0.011611j -0.35304+0.012188j -0.15685-0.000358j -0.39804+0.008679j -0.2586+0.004083j -0.28868 0.37835+0.002436j 0.11286+0.000185j 0.30677+0.001805j
0.40798 0.014753 -0.25766+0.25304j -0.045925-0.038859j 0.3405-0.005216j -0.1595-0.000353j -0.39666+0.008639j -0.2591+0.004099j -0.28868 -0.40078+0.000496j 0.29806+0.000105j -0.022797-0.003787j
-0.19121+6e-06j -0.3607-0.000164j -0.24727+0.30657j 0.30351-0.050469j -0.01254+0.006972j -0.12029-0.000885j -0.057363+0.001947j 0.48184-0.008309j -0.28868 0.21195-0.005177j 0.11031-0.00055j -0.43915+0.005753j
-0.21677-6e-06j 0.34595+0.000164j 0.32332-0.30657j 0.17534+0.050469j 0.13468-0.006972j -0.12051-0.000879j -0.054353+0.001875j 0.48213-0.008309j -0.28868 -0.49526+0.001625j 0.039948+0.000235j 0.055542-0.005673j
0.40798 0.014753 -0.076055 -0.47885 -0.12214 -0.11785-0.000884j -0.055733+0.001915j 0.48263-0.008324j -0.28868 0.28387+0.003565j -0.14525+0.000315j 0.38511-8e-05j
-0.19121+6e-06j -0.3607-0.000164j -0.065669+0.05353j -0.12941-0.011611j -0.47518+0.012188j 0.49608+8e-06j 0.04257-4.6e-05j -0.045756+4.7e-05j -0.28868 -0.37705+0.003381j 0.21372+0.000391j 0.24923-0.005712j
-0.21677-6e-06j 0.34595+0.000164j -0.010386-0.05353j -0.34944+0.011611j 0.35304-0.012188j 0.4963+2e-06j 0.039559+2.5e-05j -0.046049+4.6e-05j -0.28868 0.33016-0.003421j 0.28408-0.000394j -0.24546+0.005713j
0.40798 0.014753 0.076055 0.47885 0.12214 0.49645 0.04083 -0.043298 -0.28868 0.043889 -0.498 -0.008089
-0.35353-0.003584j 0 0.35353-0.003778j -0.34358-0.003804j -0.36175+0.032796j 0.35347-0.007854j 0 0 0.35238-0.028828j 0.43892+0.00196j 0.23946-0.002401j 0
0.35353+0.003584j 0 0.35353-0.003778j 0.09928+0.00382j -0.48825+0.041681j -0.35347+0.007854j 0 0 0.35238-0.028828j -0.44842-0.003193j 0.22116-3.6e-05j 0
0 -0.5 0 0 0 0 -0.70588-0.040085j -0.011101-0.00063j 0 0 0 -0.5
-0.35353-0.003584j 0 0.35353-0.003778j 0.34358+0.003804j 0.36175-0.032796j 0.35347-0.007854j 0 0 0.35238-0.028828j -0.43892-0.00196j -0.23946+0.002401j 0
0.35353+0.003584j 0 0.35353-0.003778j -0.09928-0.00382j 0.48825-0.041681j -0.35347+0.007854j 0 0 0.35238-0.028828j 0.44842+0.003193j -0.22116+3.6e-05j 0
0 -0.5 0 0 0 0 0.70588+0.040085j 0.011101+0.00063j 0 0 0 -0.5
-0.35353-0.003584j 0 0.35353-0.003778j -0.48997-0.007339j -0.098767+0.010773j -0.35347+0.007854j 0 0 -0.35238+0.028828j -0.22116-0.00015j -0.44842+0.002961j 0
0.35353+0.003584j 0 0.35353-0.003778j -0.36316-0.007347j 0.34247-0.027889j 0.35347-0.007854j 0 0 -0.35238+0.028828j -0.23946-0.002525j 0.43892-0.001733j 0
0 -0.5 0 0 0 0 -0.011119 0.70702 0 0 0 0.5
-0.35353-0.003584j 0 0.35353-0.003778j 0.48997+0.007339j 0.098767-0.010773j -0.35347+0.007854j 0 0 -0.35238+0.028828j 0.22116+0.00015j 0.44842-0.002961j 0
0.35353+0.003584j 0 0.35353-0.003778j 0.36316+0.007347j -0.34247+0.027889j 0.35347-0.007854j 0 0 -0.35238+0.028828j 0.23946+0.002525j -0.43892+0.001733j 0
0 -0.5 0 0 0 0 0.011119 -0.70702 0 0 0 0.5
0.19696-0.00015j 0.35752+0.007431j 0.22747-0.012475j 0.3198-0.016435j -0.30911+0.002975j 0.17992+0.00147j 0.44624-0.021574j 0.13428+0.00124j 0.28868 0.46451+0.005217j 0.13067+0.000248j -0.13089-0.000444j
0.2112+0.00015j -0.34929-0.007431j -0.39092+0.036872j 0.1493-0.017409j 0.2706-0.001322j 0.18108+0.001469j 0.44501-0.021502j 0.1368+0.001236j 0.28868 -0.082755-0.000589j -0.22064-0.002899j 0.44098+0.000228j
0.40817 0.008224 -0.16346+0.024397j 0.4691-0.033844j -0.038512+0.001653j -0.17827-0.001465j -0.44613+0.021565j -0.13682-0.00124j -0.28868 0.38242+0.004653j -0.094672-0.002715j 0.30784-0.000215j
0.19696-0.00015j 0.35752+0.007431j 0.43513-0.036872j -0.093265+0.017409j 0.22428+0.001322j -0.46041-0.001317j -0.058789+0.002405j 0.1859-0.000104j 0.28868 -0.23861-0.003257j 0.018891+0.000814j 0.43898+0.000218j
0.2112+0.00015j -0.34929-0.007431j -0.27167+0.012475j -0.37583+0.016435j -0.18577-0.002975j -0.46157-0.001316j -0.057556+0.002333j 0.18339-0.0001j 0.28868 0.30866+0.002549j 0.3702+0.003961j -0.13289-0.000455j
