	
1728 atoms
2 atom types	

0.0 18.7587 xlo xhi
0.0 9.3794 ylo yhi
0.0 9.3794 zlo zhi

#-15.16 0.0 0.0 xy xz yz

Masses

1 1
2 3

Atoms				

159	2	2.3448	0	5.4713
160	1	1.5632	0.78161	5.4713
161	1	1.5632	0	6.2529
162	2	2.3448	0.78161	6.2529
163	2	2.3448	0	7.0345
164	1	1.5632	0.78161	7.0345
165	1	1.5632	0	7.8161
166	2	2.3448	0.78161	7.8161
167	2	2.3448	0	8.5977
168	1	1.5632	0.78161	8.5977
169	1	1.5632	1.5632	0
170	2	2.3448	2.3448	0
171	2	2.3448	1.5632	0.78161
172	1	1.5632	2.3448	0.78161
173	1	1.5632	1.5632	1.5632
174	2	2.3448	2.3448	1.5632
175	2	2.3448	1.5632	2.3448
176	1	1.5632	2.3448	2.3448
177	1	1.5632	1.5632	3.1265
178	2	2.3448	2.3448	3.1265
179	2	2.3448	1.5632	3.9081
180	1	1.5632	2.3448	3.9081
181	1	1.5632	1.5632	4.6897
182	2	2.3448	2.3448	4.6897
183	2	2.3448	1.5632	5.4713
184	1	1.5632	2.3448	5.4713
185	1	1.5632	1.5632	6.2529
186	2	2.3448	2.3448	6.2529
187	2	2.3448	1.5632	7.0345
188	1	1.5632	2.3448	7.0345
189	1	1.5632	1.5632	7.8161
190	2	2.3448	2.3448	7.8161
191	2	2.3448	1.5632	8.5977
192	1	1.5632	2.3448	8.5977
193	1	1.5632	3.1265	0
194	2	2.3448	3.9081	0
195	2	2.3448	3.1265	0.78161
196	1	1.5632	3.9081	0.78161
197	1	1.5632	3.1265	1.5632
198	2	2.3448	3.9081	1.5632
199	2	2.3448	3.1265	2.3448
200	1	1.5632	3.9081	2.3448
201	1	1.5632	3.1265	3.1265
202	2	2.3448	3.9081	3.1265
203	2	2.3448	3.1265	3.9081
204	1	1.5632	3.9081	3.9081
205	1	1.5632	3.1265	4.6897
206	2	2.3448	3.9081	4.6897
207	2	2.3448	3.1265	5.4713
208	1	1.5632	3.9081	5.4713
209	1	1.5632	3.1265	6.2529
210	2	2.3448	3.9081	6.2529
211	2	2.3448	3.1265	7.0345
212	1	1.5632	3.9081	7.0345
213	1	1.5632	3.1265	7.8161
214	2	2.3448	3.9081	7.8161
215	2	2.3448	3.1265	8.5977
216	1	1.5632	3.9081	8.5977
217	1	1.5632	4.6897	0
218	2	2.3448	5.4713	0
219	2	2.3448	4.6897	0.78161
220	1	1.5632	5.4713	0.78161
221	1	1.5632	4.6897	1.5632
222	2	2.3448	5.4713	1.5632
223	2	2.3448	4.6897	2.3448
224	1	1.5632	5.4713	2.3448
225	1	1.5632	4.6897	3.1265
226	2	2.3448	5.4713	3.1265
227	2	2.3448	4.6897	3.9081
228	1	1.5632	5.4713	3.9081
229	1	1.5632	4.6897	4.6897
230	2	2.3448	5.4713	4.6897
231	2	2.3448	4.6897	5.4713
232	1	1.5632	5.4713	5.4713
233	1	1.5632	4.6897	6.2529
234	2	2.3448	5.4713	6.2529
235	2	2.3448	4.6897	7.0345
236	1	1.5632	5.4713	7.0345
237	1	1.5632	4.6897	7.8161
238	2	2.3448	5.4713	7.8161
239	2	2.3448	4.6897	8.5977
240	1	1.5632	5.4713	8.5977
241	1	1.5632	6.2529	0
242	2	2.3448	7.0345	0
243	2	2.3448	6.2529	0.78161
244	1	1.5632	7.0345	0.78161
245	1	1.5632	6.2529	1.5632
246	2	2.3448	7.0345	1.5632
247	2	2.3448	6.2529	2.3448
248	1	1.5632	7.0345	2.3448
249	1	1.5632	6.2529	3.1265
250	2	2.3448	7.0345	3.1265
251	2	2.3448	6.2529	3.9081
252	1	1.5632	7.0345	3.9081
253	1	1.5632	6.2529	4.6897
254	2	2.3448	7.0345	4.6897
255	2	2.3448	6.2529	5.4713
256	1	1.5632	7.0345	5.4713
257	1	1.5632	6.2529	6.2529
258	2	2.3448	7.0345	6.2529
259	2	2.3448	6.2529	7.0345
260	1	1.5632	7.0345	7.0345
261	1	1.5632	6.2529	7.8161
262	2	2.3448	7.0345	7.8161
263	2	2.3448	6.2529	8.5977
264	1	1.5632	7.0345	8.5977
265	1	1.5632	7.8161	0
266	2	2.3448	8.5977	0
267	2	2.3448	7.8161	0.78161
268	1	1.5632	8.5977	0.78161
269	1	1.5632	7.8161	1.5632
270	2	2.3448	8.5977	1.5632
271	2	2.3448	7.8161	2.3448
272	1	1.5632	8.5977	2.3448
273	1	1.5632	7.8161	3.1265
274	2	2.3448	8.5977	3.1265
275	2	2.3448	7.8161	3.9081
276	1	1.5632	8.5977	3.9081
