-0.19121+6e-06i -0.3607-0.000164i 0.065669-0.05353i 0.12941+0.011611i 0.47518-0.012188i -0.21666+0.001238i 0.41319-0.010586i -0.17944+0.004211i -0.28868 0.14495+0.004681i 0.089637+0.000444i 0.47003-0.001965i
-0.21677-6e-06i 0.34595+0.000164i -0.32332+0.30657i -0.17534-0.050469i -0.13468+0.006972i -0.21895+0.001235i 0.41283-0.010579i -0.17748+0.00418i -0.28868 -0.21325-0.00064i -0.43688-2.6e-05i -0.11686-0.001846i
0.40798 0.014753 0.25766-0.25304i 0.045925+0.038859i -0.3405+0.005216i -0.21909+0.001237i 0.41156-0.010554i -0.18024+0.004226i -0.28868 0.073027-0.004061i 0.3452-0.000421i -0.35422+0.003867i
-0.19121+6e-06i -0.3607-0.000164i 0.24727-0.30657i -0.30351+0.050469i 0.01254-0.006972i -0.15913-0.000361i -0.3984+0.008686i -0.25664+0.004052i -0.28868 0.020153-0.002885i -0.41366-0.000286i -0.28012+0.001925i
-0.21677-6e-06i 0.34595+0.000164i 0.010386+0.05353i 0.34944-0.011611i -0.35304+0.012188i -0.15685-0.000358i -0.39804+0.008679i -0.2586+0.004083i -0.28868 0.37835+0.002436i 0.11286+0.000185i 0.30677+0.001805i
0.40798 0.014753 -0.25766+0.25304i -0.045925-0.038859i 0.3405-0.005216i -0.1595-0.000353i -0.39666+0.008639i -0.2591+0.004099i -0.28868 -0.40078+0.000496i 0.29806+0.000105i -0.022797-0.003787i
-0.19121+6e-06i -0.3607-0.000164i -0.24727+0.30657i 0.30351-0.050469i -0.01254+0.006972i -0.12029-0.000885i -0.057363+0.001947i 0.48184-0.008309i -0.28868 0.21195-0.005177i 0.11031-0.00055i -0.43915+0.005753i
-0.21677-6e-06i 0.34595+0.000164i 0.32332-0.30657i 0.17534+0.050469i 0.13468-0.006972i -0.12051-0.000879i -0.054353+0.001875i 0.48213-0.008309i -0.28868 -0.49526+0.001625i 0.039948+0.000235i 0.055542-0.005673i
0.40798 0.014753 -0.076055 -0.47885 -0.12214 -0.11785-0.000884i -0.055733+0.001915i 0.48263-0.008324i -0.28868 0.28387+0.003565i -0.14525+0.000315i 0.38511-8e-05i
-0.19121+6e-06i -0.3607-0.000164i -0.065669+0.05353i -0.12941-0.011611i -0.47518+0.012188i 0.49608+8e-06i 0.04257-4.6e-05i -0.045756+4.7e-05i -0.28868 -0.37705+0.003381i 0.21372+0.000391i 0.24923-0.005712i
-0.21677-6e-06i 0.34595+0.000164i -0.010386-0.05353i -0.34944+0.011611i 0.35304-0.012188i 0.4963+2e-06i 0.039559+2.5e-05i -0.046049+4.6e-05i -0.28868 0.33016-0.003421i 0.28408-0.000394i -0.24546+0.005713i
0.40798 0.014753 0.076055 0.47885 0.12214 0.49645 0.04083 -0.043298 -0.28868 0.043889 -0.498 -0.008089
