0 0.1977+3.7e-05j 0 0 0.24301+3e-06j 0.33906-4.7e-05j 0 -0.053243+3.4e-05j 0.62406-0.000143j 0.61822+7.1e-05j 0.11138-6e-06j 0
0.059474+1e-05j -0.14177-1.2e-05j 0.12748-3.4e-05j 0.050871-4.4e-05j 0.077245+2e-06j -0.043117-1.8e-05j 0.49645-2.6e-05j -0.49777+8.9e-05j 0.097479-2.6e-05j -0.019221-2.2e-05j -0.46307+9.2e-05j 0.48079-1.2e-05j
-0.059474-1e-05j -0.14177-1.2e-05j -0.12748+3.4e-05j -0.050871+4.4e-05j 0.077245+2e-06j -0.043117-1.8e-05j -0.49645+2.6e-05j -0.49777+8.9e-05j 0.097479-2.6e-05j -0.019221-2.2e-05j -0.46307+9.2e-05j -0.48079+1.2e-05j
0-2.2e-05j 0.56517+2.8e-05j -0.60223+6.6e-05j -0.31626+0.000128j -0.3559-3.9e-05j 0+4e-05j 0+3.5e-05j 0+2.5e-05j 0.000981+1e-05j 0+7e-06j -0.2322+1.8e-05j 0.19315+3e-06j
0.49645-6.8e-05j -0.22505-4.4e-05j 0.22893-6.9e-05j -0.4443+0.000308j -0.38881-5.6e-05j -0.43665+3.9e-05j -0.059474+2.7e-05j 0.028481-1.1e-05j 0.21394-3.5e-05j 0.24193+4.9e-05j 0.049078-1e-05j -0.013692+5e-06j
-0.49645+7.8e-05j -0.22505-2.1e-05j 0.22893-0.000108j -0.4443+0.000297j -0.38881-0.000107j 0.43665-3e-06j 0.059474-4e-06j -0.028481+8e-06j 0.21394+1.2e-05j -0.24193-8.8e-05j 0.049078-4e-06j -0.013692+3e-06j
0+2.2e-05j 0.56517+2.8e-05j 0.60223-6.6e-05j 0.31626-0.000128j -0.3559-3.9e-05j 0+4e-05j 0-3.5e-05j 0+2.5e-05j 0.000981+1e-05j 0+7e-06j -0.2322+1.8e-05j -0.19315-3e-06j
0.49645-7.8e-05j -0.22505-2.1e-05j -0.22893+0.000108j 0.4443-0.000297j -0.38881-0.000107j 0.43665-3e-06j -0.059474+4e-06j -0.028481+8e-06j 0.21394+1.2e-05j -0.24193-8.8e-05j 0.049078-4e-06j 0.013692-3e-06j
-0.49645+6.8e-05j -0.22505-4.4e-05j -0.22893+6.9e-05j 0.4443-0.000308j -0.38881-5.6e-05j -0.43665+3.9e-05j 0.059474-2.7e-05j 0.028481-1.1e-05j 0.21394-3.5e-05j 0.24193+4.9e-05j 0.049078-1e-05j 0.013692-5e-06j
0 0.1977+2.4e-05j 0 0 0.24301+7.7e-05j -0.33906+2e-06j 0 0.053243-7e-06j 0.62406+3.4e-05j -0.61822-0.000247j 0.11138-5e-06j 0
0.059474 -0.14177 -0.12748 -0.050871 0.077245 0.043117 0.49645 0.49777 0.097479 0.019221 -0.46307 -0.48079
-0.059474 -0.14177 0.12748 0.050871 0.077245 0.043117 -0.49645 0.49777 0.097479 0.019221 -0.46307 0.48079
0.19095+0.000235j 0.075431+9e-06j 0.030149-3e-05j -0.15591+0.000182j 0.19241+0.10777j 0.20367-3.5e-05j 0.00896+9e-06j 0.11551-0.000502j -0.49302+0.000937j 0.62885-0.000269j 0.43633-0.000233j 0.013402+2e-06j
-0.17105-0.000218j -0.12874+3.6e-05j 0.16788-0.000139j -0.17551+0.000205j -0.015798-0.008862j -0.040504+3e-06j 0.43969-2.2e-05j 0.47201-0.000844j -0.33026+0.000966j -0.085712-1.9e-05j -0.3478+0.000342j 0.4896-1.3e-05j
-0.006271+2e-06j -0.10718-8e-06j -0.069056+6.5e-05j 0.035313-2.3e-05j 2e-05+1.3e-05j -0.052226-2.2e-05j -0.52334+8e-06j 0.50737-0.000856j -0.32763+0.001001j -0.062732-3.4e-05j -0.32557+0.000334j -0.48077+1.1e-05j
0.34258+0.000426j 0.41667-7.1e-05j -0.67851+0.000367j 0.35814-0.00048j -0.03407-0.019132j 0.068717+1.1e-05j 0.14094+3.7e-05j 0.073785-0.000245j -0.10982+0.000226j 0.006866+4e-06j -0.22097+0.000139j 0.16696-1e-06j
-0.55155-0.000686j 0.22576-4.4e-05j 0.029888+9e-06j 0.31708-0.000305j -0.56971-0.31911j -0.088921+1e-05j -0.016901+2.2e-05j 0.015087-0.00012j -0.14892+0.000255j 0.25385-8.2e-05j 0.14773-8.6e-05j -0.011867+6e-06j
0.11254+0.000136j -0.4916+6.1e-05j 0.069734+3.6e-05j 0.46351-0.000389j -0.13266-0.074285j 0.66447-7.3e-05j 0.11203-1.2e-05j 0.027635-6.7e-05j -0.079201+0.000115j -0.16964+2.5e-05j 0.10956-3.9e-05j -0.030906+7e-06j
0.34258+0.000384j 0.41667-6.7e-05j 0.67851-0.000258j 0.35814-0.000208j 0.034047+0.019173j -0.068717+2.8e-05j 0.14094-3.2e-05j -0.073786-0.00012j -0.10982+8e-05j -0.006866+2.1e-05j -0.22097+9.5e-05j -0.16696-5e-06j
-0.55155-0.000706j 0.22576-6e-06j -0.029887+0.000154j 0.31708-0.000246j 0.56967+0.31916j 0.088921+6e-06j -0.016901+3e-06j -0.015087-7.9e-05j -0.14892+0.00016j -0.25385+1.9e-05j 0.14773-5e-05j 0.011867-4e-06j
0.11254+0.000143j -0.4916+1.4e-05j -0.069734+0.000125j 0.46351-0.000395j 0.13265+0.074311j -0.66447+3.6e-05j 0.11203-2.8e-05j -0.027635-1.3e-05j -0.079202+9.2e-05j 0.16964-4e-05j 0.10956-7e-05j 0.030906-8e-06j
